ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-Zr5mWr-CPN No-02-2016-SEAPI-UNAH-2,ocds-lcuori-Zr5mWr-CPN No-02-2016-SEAPI-UNAH-2/3,Zr5mWr-CPN No-02-2016-SEAPI-UNAH-2,Zr5mWr-CPN No-02-2016-SEAPI-UNAH-2,2000.0,document
ocds-lcuori-2LmqDL-LPuNO-02-AMDC-14-2016-2,ocds-lcuori-2LmqDL-LPuNO-02-AMDC-14-2016-2/3,2LmqDL-LPuNO-02-AMDC-14-2016-2,2LmqDL-LPuNO-02-AMDC-14-2016-2,500.0,document
ocds-lcuori-2LmqDL-LPuNO-05-AMDC-18-2016-2,ocds-lcuori-2LmqDL-LPuNO-05-AMDC-18-2016-2/3,2LmqDL-LPuNO-05-AMDC-18-2016-2,2LmqDL-LPuNO-05-AMDC-18-2016-2,500.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-24-2015 3°-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-24-2015 3°-2/3,wrV3LP-LPR-IDECOAS-FHIS-24-2015 3°-2,wrV3LP-LPR-IDECOAS-FHIS-24-2015 3°-2,300.0,document
ocds-lcuori-0rwm9G-LP- BANADESA 001-2016-2,ocds-lcuori-0rwm9G-LP- BANADESA 001-2016-2/3,0rwm9G-LP- BANADESA 001-2016-2,0rwm9G-LP- BANADESA 001-2016-2,4000.0,document
ocds-lcuori-2LmqDL-CPuNO-03-AMDC-19-2016-2,ocds-lcuori-2LmqDL-CPuNO-03-AMDC-19-2016-2/3,2LmqDL-CPuNO-03-AMDC-19-2016-2,2LmqDL-CPuNO-03-AMDC-19-2016-2,500.0,document
ocds-lcuori-2LmqDL-LPrNO-25-AMDC-38-2016-2,ocds-lcuori-2LmqDL-LPrNO-25-AMDC-38-2016-2/3,2LmqDL-LPrNO-25-AMDC-38-2016-2,2LmqDL-LPrNO-25-AMDC-38-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-23-AMDC-36-2016-2,ocds-lcuori-2LmqDL-LPrNO-23-AMDC-36-2016-2/3,2LmqDL-LPrNO-23-AMDC-36-2016-2,2LmqDL-LPrNO-23-AMDC-36-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-24-AMDC-37-2016-2,ocds-lcuori-2LmqDL-LPrNO-24-AMDC-37-2016-2/3,2LmqDL-LPrNO-24-AMDC-37-2016-2,2LmqDL-LPrNO-24-AMDC-37-2016-2,200.0,document
ocds-lcuori-orvOoL-N° 06-2016-HEU- ST-2,ocds-lcuori-orvOoL-N° 06-2016-HEU- ST-2/3,orvOoL-N° 06-2016-HEU- ST-2,orvOoL-N° 06-2016-HEU- ST-2,500.0,document
